slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,2.5,2.5,0.001,-0.05219725678295035,4.3462604373936244e-5,false
0.001,2.5,2.5,0.5,-0.05228746760315014,5.0225007012476294e-5,false
0.001,2.5,2.5,1.0,-0.05226215062202252,3.573734773225377e-5,false
0.001,2.5,2.5,2.5,-0.05222200505672431,2.416540519632149e-5,false
0.001,2.5,2.5,5.0,-0.052198548934619816,2.4751552992289446e-5,false
0.001,2.5,2.5,10.0,-0.05218582888248216,2.39537092758783e-5,false
0.001,2.5,2.5,20.0,-0.052181631552769614,2.092327971889192e-5,false
0.001,2.5,5.0,0.001,-0.052186919377715746,4.3202777426572e-5,false
0.001,2.5,5.0,0.5,-0.05222375087614052,5.041964807520673e-5,false
0.001,2.5,5.0,1.0,-0.052204722403398365,3.232513263055142e-5,false
0.001,2.5,5.0,2.5,-0.05217932088085173,1.4811108108675586e-5,false
0.001,2.5,5.0,5.0,-0.05216816682571195,1.6676085207740272e-5,false
0.001,2.5,5.0,10.0,-0.05216596757347584,1.6884789006834805e-5,false
0.001,2.5,5.0,20.0,-0.05216934422864995,1.3314981464127289e-5,false
0.001,5.0,0.001,0.001,-0.052261147723535524,3.1325787554992625e-5,false
0.001,5.0,0.001,0.5,-0.05210108232638081,1.8974977109216168e-5,false
0.001,5.0,0.001,1.0,-0.05211437420370329,1.992152653554342e-5,false
0.001,5.0,0.001,2.5,-0.0521324415505418,2.602834822909986e-5,false
0.001,5.0,0.001,5.0,-0.05214071022693457,2.7200726680006246e-5,false
0.001,5.0,0.001,10.0,-0.05214226342133964,2.2971373364357695e-5,false
0.001,5.0,0.001,20.0,-0.05213825894087805,2.0405515831113506e-5,false
0.001,5.0,0.25,0.001,-0.052204927475924014,9.991343497621702e-6,true
0.001,5.0,0.25,0.5,-0.052363020280310854,5.677480137746488e-5,false
0.001,5.0,0.25,1.0,-0.05233378122077079,4.691920311705179e-5,false
0.001,5.0,0.25,2.5,-0.05227681226607419,3.967195277919608e-5,false
0.001,5.0,0.25,5.0,-0.052235217821595105,3.673947494213662e-5,false
0.001,5.0,0.25,10.0,-0.052203952307011955,3.1262246237668507e-5,false
0.001,5.0,0.25,20.0,-0.05218432902141556,2.588967742214455e-5,false
0.001,5.0,0.5,0.001,-0.052204545286064274,2.4604478758158853e-5,false
0.001,5.0,0.5,0.5,-0.05234228692197688,4.908621210803194e-5,false
